Date,Dif,COEPCOFF Index,COENOIL Index,BCOMCO Index,BCOMKC Index,COP REGN Curncy
2019-01-01,-1.0990000000000002,209.09,669.73,234.171,8.4911,3249.75
2019-01-02,-0.9499999999999997,209.09,669.73,239.0024,8.2952,3238.35
2019-01-03,-1.3999999999999995,209.09,669.73,243.5292,8.5161,3244.0
2019-01-04,-1.6550000000000002,209.09,669.73,248.3606,8.4702,3192.57
2019-01-07,-1.6950000000000003,209.09,669.73,249.5358,8.5661,3208.56
2019-01-08,-1.6879999999999997,209.09,669.73,255.5859,8.7579,3165.96
2019-01-09,-1.6550000000000002,209.09,669.73,267.3808,8.7787,3127.93
2019-01-10,-1.6750000000000003,209.09,669.73,268.3339,8.6912,3136.25
2019-01-11,-1.6959999999999997,209.09,669.73,263.21,8.6578,3152.78
2019-01-14,-1.706,209.09,669.73,257.0364,8.5661,3140.75
2019-01-15,-1.6450000000000005,209.09,669.73,263.8256,8.4452,3142.05
2019-01-16,-1.6750000000000003,209.09,669.73,265.9877,8.5369,3117.63
2019-01-17,-1.6959999999999997,209.09,669.73,265.1661,8.5369,3133.3
2019-01-18,-1.6870000000000003,209.09,669.73,271.0472,8.7495,3124.75
2019-01-21,-1.6870000000000003,209.09,669.73,271.0472,8.7495,3121.66
2019-01-22,-1.6979999999999995,209.09,669.73,266.031,8.6161,3145.77
2019-01-23,-1.7070000000000003,209.09,669.73,264.5175,8.6203,3146.1
2019-01-24,-1.697,209.09,669.73,265.1229,8.7787,3171.35
2019-01-25,-1.7070000000000003,209.09,669.73,266.8958,8.9038,3151.5
2019-01-28,-1.717,209.09,669.73,259.0688,8.5578,3159.02
2019-01-29,-1.7070000000000003,209.09,669.73,265.0364,8.5536,3155.43
2019-01-30,-1.717,209.09,669.73,266.5066,8.5119,3163.92
2019-01-31,-1.5270000000000001,252.04,666.17,263.4796,8.8287,3107.0
2019-02-01,-1.6359999999999997,252.04,666.17,271.5228,8.6453,3090.42
2019-02-04,-1.706,252.04,666.17,270.6147,8.8037,3088.02
2019-02-05,-1.7070000000000003,252.04,666.17,268.4093,8.7412,3089.4
2019-02-06,-1.726,252.04,666.17,271.3066,8.7954,3105.13
2019-02-07,-1.7300000000000004,252.04,666.17,266.5066,8.6953,3118.2
2019-02-08,-1.7409999999999997,252.04,666.17,268.2364,8.5544,3116.2
2019-02-11,-1.7100000000000004,252.04,666.17,266.031,8.3599,3139.7
2019-02-12,-1.7200000000000002,252.04,666.17,269.8363,8.3804,3126.6
2019-02-13,-1.729,252.04,666.17,274.939,8.2737,3131.1
2019-02-14,-1.7200000000000002,252.04,666.17,279.0039,8.205,3151.52
2019-02-15,-1.6789999999999998,252.04,666.17,286.3552,8.2212,3141.79
2019-02-18,-1.682,252.04,666.17,286.3552,8.2212,3126.35
2019-02-19,-1.7150000000000003,252.04,666.17,287.4363,8.1565,3141.4
2019-02-20,-1.7209999999999996,252.04,666.17,290.2903,8.201,3110.7
2019-02-21,-1.7179999999999995,252.04,666.17,290.5497,8.0432,3123.55
2019-02-22,-1.7079999999999997,252.04,666.17,290.8092,8.0877,3105.75
2019-02-25,-1.729,252.04,666.17,280.6903,8.0756,3105.55
2019-02-26,-1.7300000000000004,252.04,666.17,282.6363,7.8289,3083.45
2019-02-27,-1.737,252.04,666.17,287.9119,8.0028,3071.18
2019-02-28,-1.5270000000000001,201.05,639.28,286.7444,7.9624,3080.38
2019-03-01,-1.729,201.05,639.28,281.3822,8.1039,3096.13
2019-03-04,-1.726,201.05,639.28,283.9768,7.8734,3093.71
2019-03-05,-1.7250000000000005,201.05,639.28,284.7984,8.0594,3099.93
2019-03-06,-1.7250000000000005,201.05,639.28,285.3606,7.9826,3106.2
2019-03-07,-1.7250000000000005,201.05,639.28,286.7011,7.833,3143.35
2019-03-08,-1.717,201.05,639.28,284.2439,7.9664,3174.5
2019-03-11,-1.729,201.05,639.28,287.7759,7.8613,3178.55
2019-03-12,-1.7179999999999995,201.05,639.28,288.1658,7.7642,3150.75
2019-03-13,-1.7050000000000005,201.05,639.28,291.9804,7.8977,3145.52
2019-03-14,-1.6850000000000005,201.05,639.28,290.4621,7.8572,3144.65
2019-03-15,-1.6440000000000001,201.05,639.28,290.0283,7.9098,3124.08
2019-03-18,-1.694,201.05,639.28,291.1996,7.833,3102.54
2019-03-19,-1.6850000000000005,201.05,639.28,291.4598,7.8168,3094.65
2019-03-20,-1.637,201.05,639.28,294.9735,7.6631,3092.59
2019-03-21,-1.6700000000000004,201.05,639.28,292.5009,7.6672,3082.08
2019-03-22,-1.7079999999999997,201.05,639.28,288.4233,7.5944,3126.06
2019-03-25,-1.7079999999999997,201.05,639.28,288.6402,7.6227,3126.06
2019-03-26,-1.7079999999999997,201.05,639.28,291.0694,7.7116,3145.52
