Date,SOFRRATE Index,CHOVCHOV Index,BZDIOVRA Index,COOVIBR Index,Rate_BRL,Rate_CHI,Rate_COP
2019-01-02,3.15,2.75,6.4,4.1,3.7859,697.48,3238.35
2019-01-03,2.7,2.75,6.4,4.1,3.7594,695.5,3244.0
2019-01-04,2.45,2.75,6.4,4.105,3.7155,682.35,3192.57
2019-01-07,2.41,2.75,6.4,4.105,3.7327,679.91,3208.56
2019-01-08,2.42,2.75,6.4,4.108,3.7139,680.17,3165.96
2019-01-09,2.45,2.75,6.4,4.105,3.6808,676.98,3127.93
2019-01-10,2.43,2.75,6.4,4.105,3.7118,675.78,3136.25
2019-01-11,2.41,2.75,6.4,4.106,3.7136,674.56,3152.78
2019-01-14,2.4,2.75,6.4,4.106,3.6976,673.15,3140.75
2019-01-15,2.46,2.75,6.4,4.105,3.72,674.81,3142.05
2019-01-16,2.43,2.75,6.4,4.105,3.7368,671.13,3117.63
2019-01-17,2.41,2.75,6.4,4.106,3.746,671.15,3133.3
2019-01-18,2.42,2.75,6.4,4.107,3.7544,669.33,3124.75
2019-01-21,2.42,2.75,6.4,4.107,3.7601,672.48,3121.66
2019-01-22,2.41,2.75,6.4,4.108,3.8047,671.93,3145.77
2019-01-23,2.4,2.75,6.4,4.107,3.7593,672.61,3146.1
2019-01-24,2.41,2.75,6.4,4.107,3.7708,670.83,3171.35
2019-01-25,2.4,2.75,6.4,4.107,3.762,667.2,3151.5
2019-01-28,2.39,2.75,6.4,4.107,3.7661,672.44,3159.02
2019-01-29,2.4,2.75,6.4,4.107,3.7257,667.68,3155.43
2019-01-30,2.39,3.0,6.4,4.107,3.6794,667.5,3163.92
2019-01-31,2.58,3.0,6.4,4.107,3.6468,654.45,3107.0
2019-02-01,2.47,3.0,6.4,4.106,3.6568,652.1,3090.42
2019-02-04,2.4,3.0,6.4,4.106,3.6666,651.14,3088.02
2019-02-05,2.4,3.0,6.4,4.107,3.6666,651.8,3089.4
2019-02-06,2.38,3.0,6.4,4.106,3.7006,654.65,3105.13
2019-02-07,2.38,3.0,6.4,4.11,3.7171,655.26,3118.2
2019-02-08,2.37,3.0,6.4,4.111,3.732,658.83,3116.2
2019-02-11,2.4,3.0,6.4,4.11,3.7558,663.05,3139.7
2019-02-12,2.39,3.0,6.4,4.11,3.712,660.65,3126.6
2019-02-13,2.38,3.0,6.4,4.109,3.7592,663.68,3131.1
