Date,Dif Rates,Rate_BRL,Rate_CHI,Rate_COP
2019-01-02,-0.9499999999999997,3.7859,697.48,3238.35
2019-01-03,-1.3999999999999995,3.7594,695.5,3244.0
2019-01-04,-1.6550000000000002,3.7155,682.35,3192.57
2019-01-07,-1.6950000000000003,3.7327,679.91,3208.56
2019-01-08,-1.6879999999999997,3.7139,680.17,3165.96
2019-01-09,-1.6550000000000002,3.6808,676.98,3127.93
2019-01-10,-1.6750000000000003,3.7118,675.78,3136.25
2019-01-11,-1.6959999999999997,3.7136,674.56,3152.78
2019-01-14,-1.706,3.6976,673.15,3140.75
2019-01-15,-1.6450000000000005,3.72,674.81,3142.05
2019-01-16,-1.6750000000000003,3.7368,671.13,3117.63
2019-01-17,-1.6959999999999997,3.746,671.15,3133.3
2019-01-18,-1.6870000000000003,3.7544,669.33,3124.75
2019-01-21,-1.6870000000000003,3.7601,672.48,3121.66
2019-01-22,-1.6979999999999995,3.8047,671.93,3145.77
2019-01-23,-1.7070000000000003,3.7593,672.61,3146.1
2019-01-24,-1.697,3.7708,670.83,3171.35
2019-01-25,-1.7070000000000003,3.762,667.2,3151.5
2019-01-28,-1.717,3.7661,672.44,3159.02
2019-01-29,-1.7070000000000003,3.7257,667.68,3155.43
2019-01-30,-1.717,3.6794,667.5,3163.92
2019-01-31,-1.5270000000000001,3.6468,654.45,3107.0
2019-02-01,-1.6359999999999997,3.6568,652.1,3090.42
2019-02-04,-1.706,3.6666,651.14,3088.02
2019-02-05,-1.7070000000000003,3.6666,651.8,3089.4
2019-02-06,-1.726,3.7006,654.65,3105.13
2019-02-07,-1.7300000000000004,3.7171,655.26,3118.2
2019-02-08,-1.7409999999999997,3.732,658.83,3116.2
2019-02-11,-1.7100000000000004,3.7558,663.05,3139.7
2019-02-12,-1.7200000000000002,3.712,660.65,3126.6
2019-02-13,-1.729,3.7592,663.68,3131.1
2019-02-14,-1.7200000000000002,3.7188,666.85,3151.52
2019-02-15,-1.6789999999999998,3.7014,663.89,3141.79
2019-02-18,-1.682,3.7354,660.98,3126.35
2019-02-19,-1.7150000000000003,3.7218,656.93,3141.4
2019-02-20,-1.7209999999999996,3.7303,652.79,3110.7
2019-02-21,-1.7179999999999995,3.7627,654.15,3123.55
2019-02-22,-1.7079999999999997,3.747,651.05,3105.75
2019-02-25,-1.729,3.7476,649.57,3105.55
2019-02-26,-1.7300000000000004,3.7489,649.05,3083.45
2019-02-27,-1.737,3.7295,650.81,3071.18
2019-02-28,-1.5270000000000001,3.7568,654.63,3080.38
2019-03-01,-1.729,3.7786,658.47,3096.13
2019-03-04,-1.726,3.8464,658.83,3093.71
2019-03-05,-1.7250000000000005,3.8464,656.93,3099.93
2019-03-06,-1.7250000000000005,3.8393,659.15,3106.2
2019-03-07,-1.7250000000000005,3.8759,665.74,3143.35
2019-03-08,-1.717,3.8658,671.47,3174.5
2019-03-11,-1.729,3.841,670.62,3178.55
2019-03-12,-1.7179999999999995,3.8114,666.48,3150.75
2019-03-13,-1.7050000000000005,3.817,668.69,3145.52
2019-03-14,-1.6850000000000005,3.8447,671.17,3144.65
2019-03-15,-1.6440000000000001,3.8144,668.79,3124.08
2019-03-18,-1.694,3.7917,665.88,3102.54
2019-03-19,-1.6850000000000005,3.7891,665.69,3094.65
2019-03-20,-1.637,3.7763,665.97,3092.59
2019-03-21,-1.6700000000000004,3.7932,669.53,3082.08
2019-03-22,-1.7079999999999997,3.9065,680.0,3126.06
2019-03-26,-1.7079999999999997,3.8754,680.75,3145.52
2019-03-27,-1.709,3.994,683.25,3186.45
2019-03-28,-1.6779999999999995,3.901,683.32,3191.0
2019-03-29,-1.4600000000000004,3.9205,679.7,3186.0
2019-04-01,-1.6470000000000002,3.851,671.79,3146.74
2019-04-02,-1.6470000000000002,3.8537,673.23,3143.2
2019-04-03,-1.6350000000000002,3.8711,666.66,3128.68
2019-04-04,-1.6470000000000002,3.8588,665.57,3132.9
2019-04-05,-1.646,3.8735,664.67,3126.35
2019-04-08,-1.646,3.8509,663.7,3115.22
2019-04-09,-1.6559999999999997,3.8505,663.96,3105.18
2019-04-10,-1.657,3.8251,661.99,3095.67
2019-04-11,-1.669,3.8604,665.2,3113.59
2019-04-12,-1.6679999999999997,3.8816,660.99,3109.0
2019-04-15,-1.6400000000000001,3.8723,663.12,3136.17
2019-04-16,-1.6400000000000001,3.9049,662.7,3160.71
2019-04-17,-1.6050000000000004,3.9408,661.08,3160.87
2019-04-18,-1.6050000000000004,3.9271,662.38,3160.48
2019-04-22,-1.646,3.9363,663.94,3139.4
2019-04-23,-1.646,3.9216,667.84,3177.88
2019-04-24,-1.666,3.9922,672.7,3195.23
2019-04-25,-1.6559999999999997,3.9501,675.38,3233.0
2019-04-26,-1.6479999999999997,3.9315,674.51,3237.98
