Date,Dif Rates,Rate_COP
2019-01-02,-0.9499999999999997,3238.35
2019-01-03,-1.3999999999999995,3244.0
2019-01-04,-1.6550000000000002,3192.57
2019-01-07,-1.6950000000000003,3208.56
2019-01-08,-1.6879999999999997,3165.96
2019-01-09,-1.6550000000000002,3127.93
2019-01-10,-1.6750000000000003,3136.25
2019-01-11,-1.6959999999999997,3152.78
2019-01-14,-1.706,3140.75
2019-01-15,-1.6450000000000005,3142.05
2019-01-16,-1.6750000000000003,3117.63
2019-01-17,-1.6959999999999997,3133.3
2019-01-18,-1.6870000000000003,3124.75
2019-01-21,-1.6870000000000003,3121.66
2019-01-22,-1.6979999999999995,3145.77
2019-01-23,-1.7070000000000003,3146.1
2019-01-24,-1.697,3171.35
2019-01-25,-1.7070000000000003,3151.5
2019-01-28,-1.717,3159.02
2019-01-29,-1.7070000000000003,3155.43
2019-01-30,-1.717,3163.92
2019-01-31,-1.5270000000000001,3107.0
2019-02-01,-1.6359999999999997,3090.42
2019-02-04,-1.706,3088.02
2019-02-05,-1.7070000000000003,3089.4
2019-02-06,-1.726,3105.13
2019-02-07,-1.7300000000000004,3118.2
2019-02-08,-1.7409999999999997,3116.2
2019-02-11,-1.7100000000000004,3139.7
2019-02-12,-1.7200000000000002,3126.6
2019-02-13,-1.729,3131.1
2019-02-14,-1.7200000000000002,3151.52
2019-02-15,-1.6789999999999998,3141.79
2019-02-18,-1.682,3126.35
2019-02-19,-1.7150000000000003,3141.4
2019-02-20,-1.7209999999999996,3110.7
2019-02-21,-1.7179999999999995,3123.55
2019-02-22,-1.7079999999999997,3105.75
2019-02-25,-1.729,3105.55
2019-02-26,-1.7300000000000004,3083.45
2019-02-27,-1.737,3071.18
2019-02-28,-1.5270000000000001,3080.38
2019-03-01,-1.729,3096.13
2019-03-04,-1.726,3093.71
2019-03-05,-1.7250000000000005,3099.93
2019-03-06,-1.7250000000000005,3106.2
2019-03-07,-1.7250000000000005,3143.35
2019-03-08,-1.717,3174.5
2019-03-11,-1.729,3178.55
2019-03-12,-1.7179999999999995,3150.75
2019-03-13,-1.7050000000000005,3145.52
2019-03-14,-1.6850000000000005,3144.65
2019-03-15,-1.6440000000000001,3124.08
2019-03-18,-1.694,3102.54
2019-03-19,-1.6850000000000005,3094.65
2019-03-20,-1.637,3092.59
2019-03-21,-1.6700000000000004,3082.08
2019-03-22,-1.7079999999999997,3126.06
2019-03-26,-1.7079999999999997,3145.52
2019-03-27,-1.709,3186.45
2019-03-28,-1.6779999999999995,3191.0
2019-03-29,-1.4600000000000004,3186.0
