Date,Rate_BRL,Rate_CHI,Bitcoin,Rate_COP
2011-01-03,1.6496,465.95,0.3,1891.67
2011-01-04,1.6618,487.78,0.3,1893.63
2011-01-05,1.6746,494.7,0.3,1877.77
2011-01-06,1.6861,495.85,0.3,1863.61
2011-01-07,1.6875,498.13,0.32,1869.3
2011-01-10,1.689,498.05,0.33,1870.5
2011-01-11,1.6881,496.4,0.33,1859.5
2011-01-12,1.6754,489.78,0.32,1866.0
2011-01-13,1.6677,490.0,0.32,1864.5
2011-01-14,1.6844,487.5,0.4,1871.0
2011-01-17,1.6823,491.28,0.35,1867.46
2011-01-18,1.6764,490.33,0.31,1854.5
2011-01-19,1.6732,492.42,0.31,1839.56
2011-01-20,1.6738,493.65,0.39,1846.5
2011-01-21,1.6684,493.28,0.42,1843.06
2011-01-24,1.6713,491.69,0.42,1853.0
2011-01-25,1.672,492.84,0.41,1857.5
2011-01-26,1.6703,488.65,0.42,1862.5
2011-01-27,1.6785,485.23,0.42,1858.29
2011-01-28,1.6846,485.15,0.45,1867.5
2011-01-31,1.6736,483.34,0.52,1867.0
2011-02-01,1.6624,479.87,0.7,1851.5
2011-02-02,1.6674,482.02,0.72,1858.5
2011-02-03,1.6696,478.92,0.69,1864.5
2011-02-04,1.6734,478.98,0.81,1867.86
2011-02-07,1.6772,479.11,0.89,1868.0
2011-02-08,1.6655,479.23,0.92,1889.5
2011-02-09,1.6602,476.23,1.09,1887.5
2011-02-10,1.67,473.5,0.98,1882.0
2011-02-11,1.666,472.63,1.07,1883.0
2011-02-14,1.6675,469.0,1.07,1894.18
2011-02-15,1.6692,472.8,1.05,1904.5
2011-02-16,1.6714,473.95,1.05,1909.5
2011-02-17,1.6626,469.25,1.04,1888.5
2011-02-18,1.6635,468.83,0.9,1875.5
2011-02-21,1.6668,469.33,0.83,1885.5
2011-02-22,1.6708,472.4,0.87,1892.5
2011-02-23,1.6754,477.73,0.9,1902.0
2011-02-24,1.664,478.15,1.0,1899.5
2011-02-25,1.6751,475.3,0.91,1907.5
2011-02-28,1.6632,475.84,0.86,1907.5
2011-03-01,1.6633,476.45,0.92,1914.5
2011-03-02,1.6595,476.9,0.94,1913.5
2011-03-03,1.651,473.23,0.94,1898.5
