Date,Rate_BRL,Rate_CHI,Gold,Rate_COP
1993-01-01,0.0045,382.33,330.5,735.0
1993-01-04,0.0046,383.57,330.5,737.98
1993-01-05,0.0046,383.64,330.5,737.98
1993-01-06,0.0047,383.32,331.0,737.98
1993-01-07,0.0047,383.59,330.5,737.98
1993-01-08,0.0048,384.83,330.5,737.98
1993-01-11,0.0048,384.08,330.0,737.98
1993-01-12,0.0049,383.64,331.0,746.63
1993-01-13,0.0049,384.74,329.5,746.63
1993-01-14,0.0051,384.35,329.5,748.98
1993-01-15,0.0051,384.24,329.5,746.71
1993-01-18,0.0051,383.91,330.0,746.71
1993-01-19,0.0052,383.56,331.0,746.39
1993-01-20,0.0052,382.97,330.5,748.07
1993-01-21,0.0053,383.66,331.5,750.06
1993-01-22,0.0053,384.08,330.5,750.06
1993-01-25,0.0054,383.38,330.5,750.06
1993-01-26,0.0055,383.93,332.5,748.66
1993-01-27,0.0056,386.12,330.6,747.13
1993-01-28,0.0056,384.82,329.95,746.21
1993-01-29,0.0057,384.37,332.5,745.14
1993-02-01,0.0058,385.02,329.75,745.14
1993-02-02,0.0059,385.82,331.5,745.14
1993-02-03,0.0059,387.0,330.0,745.14
1993-02-04,0.006,388.0,329.5,745.14
1993-02-05,0.0061,388.89,329.5,745.79
1993-02-08,0.0062,392.0,329.5,745.79
1993-02-09,0.0063,392.0,329.5,745.45
1993-02-10,0.0064,387.53,331.5,745.49
1993-02-11,0.0065,387.73,334.0,745.38
1993-02-12,0.0066,387.73,331.0,745.38
1993-02-15,0.0066,387.73,330.0,748.22
1993-02-16,0.0067,387.67,331.0,748.18
1993-02-17,0.0068,387.65,332.0,748.18
1993-02-18,0.0069,387.75,331.5,748.18
1993-02-19,0.0069,388.39,332.5,748.18
1993-02-22,0.0069,388.39,331.0,748.18
1993-02-23,0.0069,388.39,331.5,752.52
1993-02-24,0.007,388.39,331.5,764.52
1993-02-25,0.0071,388.39,331.0,759.2
1993-02-26,0.0071,391.31,329.5,759.2
1993-03-01,0.0073,391.32,330.0,759.2
1993-03-02,0.0074,391.28,330.5,759.2
1993-03-03,0.0074,392.28,331.0,759.2
1993-03-04,0.0075,393.0,328.5,762.68
1993-03-05,0.0076,397.0,330.35,762.68
1993-03-08,0.0077,398.77,329.0,762.68
1993-03-09,0.0078,399.37,328.0,762.68
1993-03-10,0.0078,399.37,328.0,763.9
1993-03-11,0.0079,399.37,329.0,763.9
1993-03-12,0.008,396.76,329.0,763.9
1993-03-15,0.0081,397.87,330.0,763.9
1993-03-16,0.0081,398.67,330.5,763.9
1993-03-17,0.0082,398.41,331.0,763.9
1993-03-18,0.0082,398.54,332.0,763.9
1993-03-19,0.0084,398.61,333.0,766.12
1993-03-22,0.0085,399.54,334.0,766.42
1993-03-23,0.0086,399.05,333.5,766.84
1993-03-24,0.0087,399.67,332.5,766.63
1993-03-25,0.0087,399.67,334.0,766.91
1993-03-26,0.0088,399.67,334.0,767.99
1993-03-29,0.0089,399.81,333.5,767.4
1993-03-30,0.009,400.2,337.0,766.79
1993-03-31,0.0091,401.88,339.0,766.79
1993-04-01,0.0091,401.88,338.0,766.44
1993-04-02,0.0094,401.88,342.0,767.98
1993-04-05,0.0095,401.93,340.5,768.46
1993-04-06,0.0096,401.36,340.0,768.31
1993-04-07,0.0097,400.33,338.5,768.31
1993-04-08,0.0097,399.97,338.5,768.52
1993-04-09,0.0097,399.97,338.5,768.52
1993-04-12,0.0099,399.37,338.5,768.6
1993-04-13,0.01,397.96,338.5,769.34
1993-04-14,0.0101,398.97,341.5,769.8
1993-04-15,0.0103,399.69,340.5,769.8
1993-04-16,0.0104,399.56,340.0,769.8
1993-04-19,0.0106,400.16,342.0,773.22
1993-04-20,0.0106,400.09,342.0,773.7
1993-04-21,0.0107,400.9,340.5,773.97
1993-04-22,0.0108,401.76,341.0,774.34
1993-04-23,0.011,403.02,346.0,775.05
1993-04-26,0.0111,403.16,351.0,775.32
1993-04-27,0.0113,403.33,352.5,775.2
1993-04-28,0.0114,403.79,353.0,774.52
1993-04-29,0.0116,404.5,356.5,773.78
1993-04-30,0.0117,405.15,356.0,774.94
1993-05-03,0.0119,404.75,359.0,773.82
1993-05-04,0.012,404.43,356.5,775.53
1993-05-05,0.0122,405.08,356.5,776.99
1993-05-06,0.0123,404.94,357.0,777.88
1993-05-07,0.0125,405.14,359.0,778.17
1993-05-10,0.0126,405.31,358.0,777.17
1993-05-11,0.0128,404.92,357.0,777.75
1993-05-12,0.0129,404.25,358.0,777.75
1993-05-13,0.0131,404.37,371.0,780.49
1993-05-14,0.0133,405.41,370.0,780.8
1993-05-17,0.0134,405.65,370.8,780.79
1993-05-18,0.0136,404.78,370.5,781.42
1993-05-19,0.0137,404.62,383.5,781.8
1993-05-20,0.0139,404.62,373.8,781.84
1993-05-21,0.0141,405.36,375.0,781.84
1993-05-24,0.0143,405.26,378.5,781.84
1993-05-25,0.0144,404.93,378.5,782.0
1993-05-26,0.0146,404.89,376.5,783.15
1993-05-27,0.015,405.27,378.5,783.15
1993-05-28,0.0152,405.27,383.0,783.15
1993-05-31,0.0152,405.28,374.75,783.15
1993-06-01,0.0154,405.25,376.5,779.0
1993-06-02,0.0156,405.14,371.5,779.01
1993-06-03,0.0156,405.01,376.0,777.82
1993-06-04,0.016,404.75,378.5,778.12
1993-06-07,0.0162,404.07,375.5,778.12
1993-06-08,0.0164,403.32,376.0,782.29
1993-06-09,0.0164,403.32,373.0,784.62
1993-06-10,0.0166,402.19,371.0,784.95
1993-06-11,0.0168,400.39,366.45,785.79
1993-06-14,0.017,399.81,365.0,785.79
1993-06-15,0.0172,401.67,370.0,784.8
1993-06-16,0.0175,402.98,370.4,785.9
1993-06-17,0.0177,403.76,371.2,786.64
1993-06-18,0.0179,404.33,371.95,787.49
1993-06-21,0.0181,404.41,370.35,787.49
1993-06-22,0.0184,402.6,368.95,786.77
1993-06-23,0.0186,402.92,374.35,787.06
1993-06-24,0.0188,401.61,375.2,786.42
1993-06-25,0.019,402.52,376.7,786.72
1993-06-28,0.0193,404.02,375.3,786.96
1993-06-29,0.0193,404.02,376.75,786.8
1993-06-30,0.0198,404.65,378.1,787.12
1993-07-01,0.0202,404.29,387.1,786.1
1993-07-02,0.0205,405.39,388.0,787.51
1993-07-05,0.0205,405.5,388.0,787.51
1993-07-06,0.0207,405.45,392.4,788.65
1993-07-07,0.021,404.97,397.35,789.47
1993-07-08,0.0209,404.56,394.9,790.58
1993-07-09,0.0215,405.6,391.9,791.73
1993-07-12,0.0218,405.63,394.1,793.18
1993-07-13,0.0221,405.65,394.1,794.67
1993-07-14,0.0223,404.38,391.0,795.66
1993-07-15,0.0226,404.2,394.25,797.0
1993-07-16,0.0229,405.13,393.85,797.06
1993-07-19,0.0232,404.7,395.0,797.31
1993-07-20,0.0234,404.3,392.0,797.31
1993-07-21,0.0237,404.21,391.2,797.41
1993-07-22,0.024,404.02,390.65,797.63
1993-07-23,0.0243,404.45,390.5,798.17
