Date,Rate_BRL,Rate_CHI,Rate_COP
1993-01-01,0.0045,382.33,735.0
1993-01-04,0.0046,383.57,737.98
1993-01-05,0.0046,383.64,737.98
1993-01-06,0.0047,383.32,737.98
1993-01-07,0.0047,383.59,737.98
1993-01-08,0.0048,384.83,737.98
1993-01-11,0.0048,384.08,737.98
1993-01-12,0.0049,383.64,746.63
1993-01-13,0.0049,384.74,746.63
1993-01-14,0.0051,384.35,748.98
1993-01-15,0.0051,384.24,746.71
1993-01-18,0.0051,383.91,746.71
1993-01-19,0.0052,383.56,746.39
1993-01-20,0.0052,382.97,748.07
1993-01-21,0.0053,383.66,750.06
1993-01-22,0.0053,384.08,750.06
1993-01-25,0.0054,383.38,750.06
1993-01-26,0.0055,383.93,748.66
1993-01-27,0.0056,386.12,747.13
1993-01-28,0.0056,384.82,746.21
1993-01-29,0.0057,384.37,745.14
1993-02-01,0.0058,385.02,745.14
1993-02-02,0.0059,385.82,745.14
1993-02-03,0.0059,387.0,745.14
1993-02-04,0.006,388.0,745.14
1993-02-05,0.0061,388.89,745.79
1993-02-08,0.0062,392.0,745.79
1993-02-09,0.0063,392.0,745.45
1993-02-10,0.0064,387.53,745.49
1993-02-11,0.0065,387.73,745.38
1993-02-12,0.0066,387.73,745.38
1993-02-15,0.0066,387.73,748.22
1993-02-16,0.0067,387.67,748.18
1993-02-17,0.0068,387.65,748.18
1993-02-18,0.0069,387.75,748.18
1993-02-19,0.0069,388.39,748.18
1993-02-22,0.0069,388.39,748.18
1993-02-23,0.0069,388.39,752.52
1993-02-24,0.007,388.39,764.52
1993-02-25,0.0071,388.39,759.2
1993-02-26,0.0071,391.31,759.2
1993-03-01,0.0073,391.32,759.2
1993-03-02,0.0074,391.28,759.2
1993-03-03,0.0074,392.28,759.2
1993-03-04,0.0075,393.0,762.68
1993-03-05,0.0076,397.0,762.68
1993-03-08,0.0077,398.77,762.68
1993-03-09,0.0078,399.37,762.68
1993-03-10,0.0078,399.37,763.9
1993-03-11,0.0079,399.37,763.9
1993-03-12,0.008,396.76,763.9
