periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-01,1994-01-01,1994-02-28,41,1993-01-01,1993-12-31,0.280703,0.092226,0.303687,0.226699,6.6767,52.1777,7.2234,0.008173
1994-03,1994-03-01,1994-04-30,44,1993-03-01,1994-02-28,0.52589,0.392754,0.626701,0.332016,9.5729,130.1407,11.4079,0.011562
1994-05,1994-05-01,1994-06-30,44,1993-05-01,1994-04-30,0.744984,0.704482,0.839334,0.365842,10.7078,145.5376,12.0639,0.012765
1994-07,1994-07-01,1994-08-31,44,1993-07-01,1994-06-30,1.663397,2.851832,1.688737,55.738625,21.8207,490.7616,22.1531,0.026724
1994-09,1994-09-01,1994-10-31,43,1993-09-01,1994-08-31,1.645706,3.413894,1.847673,1.774725,17.4789,385.1003,19.624,0.020835
1994-11,1994-11-01,1994-12-31,44,1993-11-01,1994-10-31,0.34312,0.167242,0.408952,0.802702,4.0685,23.5136,4.8491,0.004906
1995-01,1995-01-01,1995-02-28,42,1994-01-01,1994-12-31,1.723409,3.546179,1.88313,0.713364,16.8376,338.4893,18.3981,0.019772
1995-03,1995-03-01,1995-04-30,43,1994-03-01,1995-02-28,1.99865,4.28903,2.070997,0.617813,23.5148,593.6996,24.366,0.027016
1995-05,1995-05-01,1995-06-30,45,1994-05-01,1995-04-30,0.483686,0.28986,0.538387,0.222766,8.4705,88.8949,9.4284,0.009656
1995-07,1995-07-01,1995-08-31,44,1994-07-01,1995-06-30,1.714041,4.446777,2.108738,0.482533,37.7765,2159.9604,46.4754,0.04049
1995-09,1995-09-01,1995-10-31,43,1994-09-01,1995-08-31,1.843321,3.573549,1.890383,0.512562,58.0729,3546.8706,59.5556,0.059444
1995-11,1995-11-01,1995-12-31,43,1994-11-01,1995-10-31,0.265094,0.101798,0.319058,0.117896,13.0724,247.5416,15.7335,0.013116
1996-01,1996-01-01,1996-02-29,44,1995-01-01,1995-12-31,0.426261,0.232957,0.482656,0.211723,23.8391,728.6236,26.993,0.023228
1996-03,1996-03-01,1996-04-30,43,1995-03-01,1996-02-29,0.368975,0.146846,0.383204,0.20695,22.0683,525.2953,22.9193,0.021063
1996-05,1996-05-01,1996-06-30,43,1995-05-01,1996-04-30,0.292002,0.089657,0.299427,0.180587,17.8516,335.0943,18.3056,0.016696
1996-07,1996-07-01,1996-08-31,45,1995-07-01,1996-06-30,0.328428,0.164356,0.405408,0.441785,17.2554,453.6821,21.2998,0.016502
1996-09,1996-09-01,1996-10-31,44,1995-09-01,1996-08-31,0.841785,0.850606,0.922283,9.633202,29.5778,1050.1632,32.4062,0.029012
1996-11,1996-11-01,1996-12-31,43,1995-11-01,1996-10-31,1.05354,1.149975,1.072369,0.792014,28.1755,822.4911,28.6791,0.028205
1997-01,1997-01-01,1997-02-28,43,1996-01-01,1996-12-31,1.936004,4.891132,2.211591,2.194264,48.9193,3122.8997,55.8829,0.045999
1997-03,1997-03-01,1997-04-30,43,1996-03-01,1997-02-28,0.376339,0.263116,0.512949,0.491985,9.8394,179.8568,13.4111,0.009265
1997-05,1997-05-01,1997-06-30,43,1996-05-01,1997-04-30,0.57805,0.376158,0.613317,0.442345,15.7183,278.1302,16.6772,0.014553
1997-07,1997-07-01,1997-08-31,44,1996-07-01,1997-06-30,1.364625,2.316927,1.522145,0.521925,39.4831,1939.5804,44.0407,0.035091
1997-09,1997-09-01,1997-10-31,45,1996-09-01,1997-08-31,3.083175,10.017592,3.165058,0.650575,124.0438,16214.9941,127.3381,0.099283
1997-11,1997-11-01,1997-12-31,43,1996-11-01,1997-10-31,0.435037,0.217497,0.466366,0.169281,34.5087,1368.5392,36.9938,0.026616
1998-01,1998-01-01,1998-02-28,42,1997-01-01,1997-12-31,0.38042,0.165287,0.406555,0.18619,36.6291,1532.3809,39.1456,0.027365
1998-03,1998-03-01,1998-04-30,44,1997-03-01,1998-02-28,0.138205,0.02956,0.171929,0.08645,14.8971,343.4439,18.5322,0.010955
1998-05,1998-05-01,1998-06-30,43,1997-05-01,1998-04-30,0.222749,0.059058,0.243018,0.156484,23.8037,674.4313,25.9698,0.017132
1998-07,1998-07-01,1998-08-31,44,1997-07-01,1998-06-30,0.241255,0.076319,0.276259,0.258719,22.0361,636.7237,25.2334,0.015974
1998-09,1998-09-01,1998-10-31,44,1997-09-01,1998-08-31,3.25073,11.158255,3.340397,0.774401,173.7062,31861.4238,178.4977,0.111212
1998-11,1998-11-01,1998-12-31,44,1997-11-01,1998-10-31,0.542432,0.461724,0.679503,0.334033,45.7841,3289.4399,57.3536,0.029947
1999-01,1999-01-01,1999-02-28,41,1998-01-01,1998-12-31,0.214899,0.06224,0.249479,0.138059,19.6439,520.0638,22.8049,0.012499
1999-03,1999-03-01,1999-04-30,45,1998-03-01,1999-02-28,0.195842,0.054774,0.234038,0.192997,18.3389,480.2952,21.9156,0.011707
1999-05,1999-05-01,1999-06-30,43,1998-05-01,1999-04-30,1.237897,1.717202,1.310421,0.598311,106.7608,12772.4912,113.0154,0.063423
1999-07,1999-07-01,1999-08-31,44,1998-07-01,1999-06-30,1.769771,3.504698,1.872084,0.506988,161.2854,29107.627,170.6096,0.086237
1999-09,1999-09-01,1999-10-31,43,1998-09-01,1999-08-31,1.119177,1.303946,1.141905,0.367555,130.8716,17830.0527,133.5292,0.066022
1999-11,1999-11-01,1999-12-31,45,1998-11-01,1999-10-31,0.370224,0.181739,0.426308,0.314278,62.3254,5150.4888,71.7669,0.032858
2000-01,2000-01-01,2000-02-29,42,1999-01-01,1999-12-31,0.156586,0.033526,0.1831,0.144249,26.4656,957.7061,30.9468,0.013596
2000-03,2000-03-01,2000-04-30,43,1999-03-01,2000-02-29,0.276605,0.093892,0.306417,0.268068,43.1678,2286.7957,47.8205,0.021787
2000-05,2000-05-01,2000-06-30,45,1999-05-01,2000-04-30,0.965614,1.067173,1.033041,0.497376,106.5674,12998.0039,114.0088,0.050542
2000-07,2000-07-01,2000-08-31,44,1999-07-01,2000-06-30,0.91525,0.976539,0.9882,0.333329,74.6418,6494.9199,80.5911,0.034171
2000-09,2000-09-01,2000-10-31,43,1999-09-01,2000-08-31,0.268878,0.097442,0.312158,0.139879,26.0836,917.0095,30.2822,0.011839
2000-11,2000-11-01,2000-12-31,43,1999-11-01,2000-10-31,0.373098,0.194436,0.440949,0.465607,42.968,2578.8118,50.782,0.020009
2001-01,2001-01-01,2001-02-28,43,2000-01-01,2000-12-31,0.757763,0.590961,0.76874,0.510317,78.404,6326.5742,79.5398,0.034924
2001-03,2001-03-01,2001-04-30,43,2000-03-01,2001-02-28,0.573874,0.415839,0.644856,0.302183,52.0213,3417.064,58.4557,0.022468
2001-05,2001-05-01,2001-06-30,44,2000-05-01,2001-04-30,0.368912,0.189785,0.435643,0.200616,26.217,958.4769,30.9593,0.011242
2001-07,2001-07-01,2001-08-31,45,2000-07-01,2001-06-30,0.45034,0.235577,0.485363,0.517694,29.8154,1032.6011,32.1341,0.013
2001-09,2001-09-01,2001-10-31,43,2000-09-01,2001-08-31,0.432306,0.230107,0.479695,0.369853,27.5263,932.9141,30.5436,0.011809
2001-11,2001-11-01,2001-12-31,43,2000-11-01,2001-10-31,0.351874,0.154885,0.393554,2.65881,21.3751,571.5455,23.907,0.009281
2002-01,2002-01-01,2002-02-28,43,2001-01-01,2001-12-31,0.801035,1.020305,1.010101,12.055614,25.8921,1066.0122,32.6498,0.011427
2002-03,2002-03-01,2002-04-30,43,2001-03-01,2002-02-28,0.424807,0.252984,0.502975,0.434061,10.3709,150.7785,12.2792,0.004568
2002-05,2002-05-01,2002-06-30,43,2001-05-01,2002-04-30,2.411586,7.922569,2.814706,1.989408,62.9493,5398.124,73.4719,0.026675
2002-07,2002-07-01,2002-08-31,45,2001-07-01,2002-06-30,8.200087,75.302536,8.677704,0.876011,249.0825,69479.9141,263.5904,0.095414
2002-09,2002-09-01,2002-10-31,44,2001-09-01,2002-08-31,1.919261,3.974147,1.993526,0.492296,220.9738,52681.3984,229.5243,0.078674
2002-11,2002-11-01,2002-12-31,43,2001-11-01,2002-10-31,0.222458,0.072442,0.26915,0.141002,44.5906,2910.5781,53.9498,0.016154
2003-01,2003-01-01,2003-02-28,43,2002-01-01,2002-12-31,0.681799,0.493931,0.702802,0.36328,154.9935,25525.8809,159.7682,0.052761
2003-03,2003-03-01,2003-04-30,43,2002-03-01,2003-02-28,0.135209,0.027504,0.165844,0.109656,33.4474,1683.1173,41.0258,0.011441
2003-05,2003-05-01,2003-06-30,43,2002-05-01,2003-04-30,0.478835,0.246657,0.496646,0.9752,103.6395,11555.0762,107.4945,0.036546
2003-07,2003-07-01,2003-08-31,44,2002-07-01,2003-06-30,0.191432,0.052231,0.228541,0.717278,25.0769,896.2891,29.9381,0.008732
2003-09,2003-09-01,2003-10-31,45,2002-09-01,2003-08-31,0.291477,0.118264,0.343896,0.955919,21.3894,636.858,25.236,0.007493
2003-11,2003-11-01,2003-12-31,43,2002-11-01,2003-10-31,0.63249,0.531572,0.72909,0.889783,40.1266,2139.5288,46.255,0.014282
2004-01,2004-01-01,2004-02-29,42,2003-01-01,2003-12-31,1.457111,2.408528,1.551943,0.508658,73.5395,6134.9116,78.3257,0.026991
2004-03,2004-03-01,2004-04-30,45,2003-03-01,2004-02-29,1.033447,1.194122,1.092759,0.350748,67.5368,5099.7993,71.4129,0.025492
2004-05,2004-05-01,2004-06-30,43,2003-05-01,2004-04-30,0.791094,0.721858,0.849622,1.162889,64.0022,4724.8306,68.7374,0.023439
2004-07,2004-07-01,2004-08-31,44,2003-07-01,2004-06-30,1.086106,1.392483,1.180035,0.549101,89.1001,9371.3438,96.8057,0.034177
2004-09,2004-09-01,2004-10-31,43,2003-09-01,2004-08-31,0.419094,0.288318,0.536953,0.204042,37.2725,2280.4785,47.7544,0.014621
2004-11,2004-11-01,2004-12-31,45,2003-11-01,2004-10-31,1.064029,1.766204,1.328986,0.359621,93.0373,13503.5498,116.2048,0.038609
2005-01,2005-01-01,2005-02-28,41,2004-01-01,2004-12-31,1.140208,1.442374,1.200989,0.412915,114.9521,14660.3145,121.0798,0.049014
2005-03,2005-03-01,2005-04-30,44,2004-03-01,2005-02-28,0.143953,0.02949,0.171726,0.091748,18.4367,483.7251,21.9938,0.007809
2005-05,2005-05-01,2005-06-30,44,2004-05-01,2005-04-30,0.089386,0.012331,0.111047,0.06909,12.5921,244.7193,15.6435,0.005402
2005-07,2005-07-01,2005-08-31,44,2004-07-01,2005-06-30,0.151139,0.027774,0.166656,0.12717,17.8248,386.3088,19.6547,0.00772
2005-09,2005-09-01,2005-10-31,43,2004-09-01,2005-08-31,0.151903,0.0289,0.170001,0.135701,14.5212,264.1027,16.2512,0.00634
2005-11,2005-11-01,2005-12-31,44,2004-11-01,2005-10-31,0.162604,0.033546,0.183156,0.139516,10.4834,139.4382,11.8084,0.004603
