periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_train_ini,fecha_train_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1993-W52,1993-12-27,1994-01-09,10,1992-12-28,1993-12-26,0.242934,0.074504,0.272953,0.338572,5.8046,42.5352,6.5219,0.007222
1994-W02,1994-01-10,1994-01-23,10,1993-01-11,1994-01-09,0.411036,0.180041,0.424312,0.311845,9.3603,93.3665,9.6626,0.01144
1994-W04,1994-01-24,1994-02-06,10,1993-01-25,1994-01-23,0.364971,0.14457,0.380223,0.292012,7.9897,69.2828,8.3236,0.009764
1994-W06,1994-02-07,1994-02-20,10,1993-02-08,1994-02-06,0.104789,0.017907,0.133817,0.091025,2.1569,7.5867,2.7544,0.002639
1994-W08,1994-02-21,1994-03-06,10,1993-02-22,1994-02-20,0.245757,0.079716,0.28234,0.21536,4.6232,28.2105,5.3114,0.005652
1994-W10,1994-03-07,1994-03-20,10,1993-03-08,1994-03-06,0.217809,0.062859,0.250717,0.190486,3.8512,19.6519,4.433,0.004703
1994-W12,1994-03-21,1994-04-03,10,1993-03-22,1994-03-20,0.130745,0.020946,0.144726,0.105728,2.1776,5.8102,2.4104,0.002651
1994-W14,1994-04-04,1994-04-17,10,1993-04-05,1994-04-03,0.287328,0.143494,0.378806,0.18336,4.5012,35.216,5.9343,0.005439
1994-W16,1994-04-18,1994-05-01,10,1993-04-19,1994-04-17,0.720281,0.584008,0.764204,0.359917,10.5692,125.7469,11.2137,0.01266
1994-W18,1994-05-02,1994-05-15,10,1993-05-03,1994-05-01,0.624469,0.409272,0.639744,0.27351,8.9756,84.5507,9.1951,0.010684
1994-W20,1994-05-16,1994-05-29,10,1993-05-17,1994-05-15,0.272637,0.121679,0.348825,0.118717,3.9332,25.324,5.0323,0.004667
1994-W22,1994-05-30,1994-06-12,10,1993-05-31,1994-05-29,0.246062,0.085106,0.291729,0.132178,3.6134,18.3526,4.284,0.004304
1994-W24,1994-06-13,1994-06-26,10,1993-06-14,1994-06-12,0.812815,0.750754,0.866461,0.892689,11.6338,153.7997,12.4016,0.014046
1994-W26,1994-06-27,1994-07-10,10,1993-06-28,1994-06-26,1.339984,1.826923,1.351637,5.980125,18.0917,333.0272,18.249,0.022084
1994-W28,1994-07-11,1994-07-24,10,1993-07-12,1994-07-10,1.119161,1.439915,1.199964,25.442564,13.7929,218.7071,14.7887,0.016826
1994-W30,1994-07-25,1994-08-07,10,1993-07-26,1994-07-24,1.265838,1.68858,1.299454,6.01208,14.7302,228.6563,15.1214,0.018074
1994-W32,1994-08-08,1994-08-21,10,1993-08-09,1994-08-07,0.809017,0.72661,0.852414,2.158663,9.0058,90.0383,9.4888,0.011063
1994-W34,1994-08-22,1994-09-04,10,1993-08-23,1994-08-21,0.408416,0.195214,0.44183,1.600837,4.4111,22.7714,4.7719,0.005407
1994-W36,1994-09-05,1994-09-18,10,1993-09-06,1994-09-04,0.524486,0.430237,0.655924,14.665121,5.5439,48.0703,6.9333,0.006715
1994-W38,1994-09-19,1994-10-02,10,1993-09-20,1994-09-18,2.274595,5.212007,2.282982,1.143032,23.7399,567.7444,23.8274,0.02824
1994-W40,1994-10-03,1994-10-16,10,1993-10-04,1994-10-02,0.616725,0.496043,0.704304,0.361759,6.7815,59.9774,7.7445,0.008071
1994-W42,1994-10-17,1994-10-30,10,1993-10-18,1994-10-16,0.340023,0.194204,0.440686,0.216085,3.8845,25.3459,5.0345,0.004623
1994-W44,1994-10-31,1994-11-13,10,1993-11-01,1994-10-30,0.61555,0.464361,0.681441,0.862246,7.2926,65.1769,8.0732,0.008766
1994-W46,1994-11-14,1994-11-27,10,1993-11-15,1994-11-13,0.902834,0.836549,0.914631,3.002107,10.7512,118.6282,10.8917,0.012987
1994-W48,1994-11-28,1994-12-11,10,1993-11-29,1994-11-27,0.422398,0.200603,0.447888,0.958578,4.9725,27.7998,5.2726,0.005996
1994-W50,1994-12-12,1994-12-25,10,1993-12-13,1994-12-11,0.297814,0.133168,0.364922,8.541664,3.3553,16.9034,4.1114,0.004058
1994-W52,1994-12-26,1995-01-08,10,1993-12-27,1994-12-25,0.440838,0.313805,0.560183,0.750048,4.5205,32.9965,5.7443,0.005414
1995-W02,1995-01-09,1995-01-22,10,1994-01-10,1995-01-08,1.50403,2.580451,1.606378,0.809856,14.2371,231.2199,15.2059,0.016831
1995-W04,1995-01-23,1995-02-05,10,1994-01-24,1995-01-22,1.892257,3.738016,1.933395,0.653807,18.689,364.6301,19.0953,0.021818
1995-W06,1995-02-06,1995-02-19,10,1994-02-07,1995-02-05,0.365463,0.221298,0.470423,0.217457,4.046,27.1228,5.208,0.00477
1995-W08,1995-02-20,1995-03-05,10,1994-02-21,1995-02-19,0.767438,0.791852,0.889861,0.330234,8.7102,102.0037,10.0997,0.010161
